Date,Release Date,Type,Text
2026-03-19,2026-03-19,statement,"Meta Navigation
Contact
Media
Career
Search
EN
Deutsch
Français
English
Italiano
Menu
Close
Main Navigation
The SNB
Close
Back
Responsibilities and goals
Monetary policy
Cash supply and distribution
Payment transactions
Investment of assets
Financial stability
International
Services for the Confederation
Statistics
Implementation of monetary policy
Research at the SNB
Overview
﻿
Organisation
Supervisory and executive bodies
The SNB as a joint-stock company
Annual financial statements and profit
Legal basis
Regional economic relations
The history of the SNB
About the SNB
Overview
﻿
The SNB explained
Who is the SNB?
Why are stable prices important?
What determines the Swiss franc exchange rate?
Overview
﻿
News & Publications
Close
Back
Publication types
New on the website
Press releases
Ad hoc announcements
Economic publications
Statistical publications
Business cycle signals
Speeches & presentations
Interviews
Annual Report
SNB Research Report
Sustainability management
Ordering print publications
Overview
﻿
Services & Events
Close
Back
Digital services
Web TV
Research TV
SNB data portal
RSS and Calendar feeds
SNB News Alert
Time schedule
Iconomix
Q&A
Glossary
Overview
﻿
Services on site
SNB Forum
SNB library
Archives
Moneyverse
Overview
﻿
Events
Money market events of the SNB
Karl Brunner Lecture Series
SNB Research Conference
SNB-CIF Conference
SNB-FRB-BIS High-Level Conference on GRUV
Workshop on International Macroeconomics and Finance
NBP-SNB Joint Seminar
Other academic conferences
Overview
﻿
Search"
2025-12-11,2025-12-11,statement,"Meta Navigation
Contact
Media
Career
Search
EN
Deutsch
Français
English
Italiano
Menu
Close
Main Navigation
The SNB
Close
Back
Responsibilities and goals
Monetary policy
Cash supply and distribution
Payment transactions
Investment of assets
Financial stability
International
Services for the Confederation
Statistics
Implementation of monetary policy
Research at the SNB
Overview
﻿
Organisation
Supervisory and executive bodies
The SNB as a joint-stock company
Annual financial statements and profit
Legal basis
Regional economic relations
The history of the SNB
About the SNB
Overview
﻿
The SNB explained
Who is the SNB?
Why are stable prices important?
What determines the Swiss franc exchange rate?
Overview
﻿
News & Publications
Close
Back
Publication types
New on the website
Press releases
Ad hoc announcements
Economic publications
Statistical publications
Business cycle signals
Speeches & presentations
Interviews
Annual Report
SNB Research Report
Sustainability management
Ordering print publications
Overview
﻿
Services & Events
Close
Back
Digital services
Web TV
Research TV
SNB data portal
RSS and Calendar feeds
SNB News Alert
Time schedule
Iconomix
Q&A
Glossary
Overview
﻿
Services on site
SNB Forum
SNB library
Archives
Moneyverse
Overview
﻿
Events
Money market events of the SNB
Karl Brunner Lecture Series
SNB Research Conference
SNB-CIF Conference
SNB-FRB-BIS High-Level Conference on GRUV
Workshop on International Macroeconomics and Finance
NBP-SNB Joint Seminar
Other academic conferences
Overview
﻿
Search"
2025-09-25,2025-09-25,statement,"Meta Navigation
Contact
Media
Career
Search
EN
Deutsch
Français
English
Italiano
Menu
Close
Main Navigation
The SNB
Close
Back
Responsibilities and goals
Monetary policy
Cash supply and distribution
Payment transactions
Investment of assets
Financial stability
International
Services for the Confederation
Statistics
Implementation of monetary policy
Research at the SNB
Overview
﻿
Organisation
Supervisory and executive bodies
The SNB as a joint-stock company
Annual financial statements and profit
Legal basis
Regional economic relations
The history of the SNB
About the SNB
Overview
﻿
The SNB explained
Who is the SNB?
Why are stable prices important?
What determines the Swiss franc exchange rate?
Overview
﻿
News & Publications
Close
Back
Publication types
New on the website
Press releases
Ad hoc announcements
Economic publications
Statistical publications
Business cycle signals
Speeches & presentations
Interviews
Annual Report
SNB Research Report
Sustainability management
Ordering print publications
Overview
﻿
Services & Events
Close
Back
Digital services
Web TV
Research TV
SNB data portal
RSS and Calendar feeds
SNB News Alert
Time schedule
Iconomix
Q&A
Glossary
Overview
﻿
Services on site
SNB Forum
SNB library
Archives
Moneyverse
Overview
﻿
Events
Money market events of the SNB
Karl Brunner Lecture Series
SNB Research Conference
SNB-CIF Conference
SNB-FRB-BIS High-Level Conference on GRUV
Workshop on International Macroeconomics and Finance
NBP-SNB Joint Seminar
Other academic conferences
Overview
﻿
Search"
2025-03-20,2025-03-20,statement,"Meta Navigation
Contact
Media
Career
Search
EN
Deutsch
Français
English
Italiano
Menu
Close
Main Navigation
The SNB
Close
Back
Responsibilities and goals
Monetary policy
Cash supply and distribution
Payment transactions
Investment of assets
Financial stability
International
Services for the Confederation
Statistics
Implementation of monetary policy
Research at the SNB
Overview
﻿
Organisation
Supervisory and executive bodies
The SNB as a joint-stock company
Annual financial statements and profit
Legal basis
Regional economic relations
The history of the SNB
About the SNB
Overview
﻿
The SNB explained
Who is the SNB?
Why are stable prices important?
What determines the Swiss franc exchange rate?
Overview
﻿
News & Publications
Close
Back
Publication types
New on the website
Press releases
Ad hoc announcements
Economic publications
Statistical publications
Business cycle signals
Speeches & presentations
Interviews
Annual Report
SNB Research Report
Sustainability management
Ordering print publications
Overview
﻿
Services & Events
Close
Back
Digital services
Web TV
Research TV
SNB data portal
RSS and Calendar feeds
SNB News Alert
Time schedule
Iconomix
Q&A
Glossary
Overview
﻿
Services on site
SNB Forum
SNB library
Archives
Moneyverse
Overview
﻿
Events
Money market events of the SNB
Karl Brunner Lecture Series
SNB Research Conference
SNB-CIF Conference
SNB-FRB-BIS High-Level Conference on GRUV
Workshop on International Macroeconomics and Finance
NBP-SNB Joint Seminar
Other academic conferences
Overview
﻿
Search"
2024-12-12,2024-12-12,statement,"Meta Navigation
Contact
Media
Career
Search
EN
Deutsch
Français
English
Italiano
Menu
Close
Main Navigation
The SNB
Close
Back
Responsibilities and goals
Monetary policy
Cash supply and distribution
Payment transactions
Investment of assets
Financial stability
International
Services for the Confederation
Statistics
Implementation of monetary policy
Research at the SNB
Overview
﻿
Organisation
Supervisory and executive bodies
The SNB as a joint-stock company
Annual financial statements and profit
Legal basis
Regional economic relations
The history of the SNB
About the SNB
Overview
﻿
The SNB explained
Who is the SNB?
Why are stable prices important?
What determines the Swiss franc exchange rate?
Overview
﻿
News & Publications
Close
Back
Publication types
New on the website
Press releases
Ad hoc announcements
Economic publications
Statistical publications
Business cycle signals
Speeches & presentations
Interviews
Annual Report
SNB Research Report
Sustainability management
Ordering print publications
Overview
﻿
Services & Events
Close
Back
Digital services
Web TV
Research TV
SNB data portal
RSS and Calendar feeds
SNB News Alert
Time schedule
Iconomix
Q&A
Glossary
Overview
﻿
Services on site
SNB Forum
SNB library
Archives
Moneyverse
Overview
﻿
Events
Money market events of the SNB
Karl Brunner Lecture Series
SNB Research Conference
SNB-CIF Conference
SNB-FRB-BIS High-Level Conference on GRUV
Workshop on International Macroeconomics and Finance
NBP-SNB Joint Seminar
Other academic conferences
Overview
﻿
Search"
2024-09-26,2024-09-26,statement,"Meta Navigation
Contact
Media
Career
Search
EN
Deutsch
Français
English
Italiano
Menu
Close
Main Navigation
The SNB
Close
Back
Responsibilities and goals
Monetary policy
Cash supply and distribution
Payment transactions
Investment of assets
Financial stability
International
Services for the Confederation
Statistics
Implementation of monetary policy
Research at the SNB
Overview
﻿
Organisation
Supervisory and executive bodies
The SNB as a joint-stock company
Annual financial statements and profit
Legal basis
Regional economic relations
The history of the SNB
About the SNB
Overview
﻿
The SNB explained
Who is the SNB?
Why are stable prices important?
What determines the Swiss franc exchange rate?
Overview
﻿
News & Publications
Close
Back
Publication types
New on the website
Press releases
Ad hoc announcements
Economic publications
Statistical publications
Business cycle signals
Speeches & presentations
Interviews
Annual Report
SNB Research Report
Sustainability management
Ordering print publications
Overview
﻿
Services & Events
Close
Back
Digital services
Web TV
Research TV
SNB data portal
RSS and Calendar feeds
SNB News Alert
Time schedule
Iconomix
Q&A
Glossary
Overview
﻿
Services on site
SNB Forum
SNB library
Archives
Moneyverse
Overview
﻿
Events
Money market events of the SNB
Karl Brunner Lecture Series
SNB Research Conference
SNB-CIF Conference
SNB-FRB-BIS High-Level Conference on GRUV
Workshop on International Macroeconomics and Finance
NBP-SNB Joint Seminar
Other academic conferences
Overview
﻿
Search"
2024-06-20,2024-06-20,statement,"Meta Navigation
Contact
Media
Career
Search
EN
Deutsch
Français
English
Italiano
Menu
Close
Main Navigation
The SNB
Close
Back
Responsibilities and goals
Monetary policy
Cash supply and distribution
Payment transactions
Investment of assets
Financial stability
International
Services for the Confederation
Statistics
Implementation of monetary policy
Research at the SNB
Overview
﻿
Organisation
Supervisory and executive bodies
The SNB as a joint-stock company
Annual financial statements and profit
Legal basis
Regional economic relations
The history of the SNB
About the SNB
Overview
﻿
The SNB explained
Who is the SNB?
Why are stable prices important?
What determines the Swiss franc exchange rate?
Overview
﻿
News & Publications
Close
Back
Publication types
New on the website
Press releases
Ad hoc announcements
Economic publications
Statistical publications
Business cycle signals
Speeches & presentations
Interviews
Annual Report
SNB Research Report
Sustainability management
Ordering print publications
Overview
﻿
Services & Events
Close
Back
Digital services
Web TV
Research TV
SNB data portal
RSS and Calendar feeds
SNB News Alert
Time schedule
Iconomix
Q&A
Glossary
Overview
﻿
Services on site
SNB Forum
SNB library
Archives
Moneyverse
Overview
﻿
Events
Money market events of the SNB
Karl Brunner Lecture Series
SNB Research Conference
SNB-CIF Conference
SNB-FRB-BIS High-Level Conference on GRUV
Workshop on International Macroeconomics and Finance
NBP-SNB Joint Seminar
Other academic conferences
Overview
﻿
Search"
2024-03-21,2024-03-21,statement,"Meta Navigation
Contact
Media
Career
Search
EN
Deutsch
Français
English
Italiano
Menu
Close
Main Navigation
The SNB
Close
Back
Responsibilities and goals
Monetary policy
Cash supply and distribution
Payment transactions
Investment of assets
Financial stability
International
Services for the Confederation
Statistics
Implementation of monetary policy
Research at the SNB
Overview
﻿
Organisation
Supervisory and executive bodies
The SNB as a joint-stock company
Annual financial statements and profit
Legal basis
Regional economic relations
The history of the SNB
About the SNB
Overview
﻿
The SNB explained
Who is the SNB?
Why are stable prices important?
What determines the Swiss franc exchange rate?
Overview
﻿
News & Publications
Close
Back
Publication types
New on the website
Press releases
Ad hoc announcements
Economic publications
Statistical publications
Business cycle signals
Speeches & presentations
Interviews
Annual Report
SNB Research Report
Sustainability management
Ordering print publications
Overview
﻿
Services & Events
Close
Back
Digital services
Web TV
Research TV
SNB data portal
RSS and Calendar feeds
SNB News Alert
Time schedule
Iconomix
Q&A
Glossary
Overview
﻿
Services on site
SNB Forum
SNB library
Archives
Moneyverse
Overview
﻿
Events
Money market events of the SNB
Karl Brunner Lecture Series
SNB Research Conference
SNB-CIF Conference
SNB-FRB-BIS High-Level Conference on GRUV
Workshop on International Macroeconomics and Finance
NBP-SNB Joint Seminar
Other academic conferences
Overview
﻿
Search"
